,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,117,17,0,1,1,2,0,40,35,28,0,0,1,0,2,6,0,13,0,1
1930-1939,39,43,0,0,1,0,1,15,13,18,0,1,0,0,1,2,1,6,2,1
1940-1949,187,171,9,5,2,8,7,55,47,39,4,4,5,6,16,9,1,8,8,5
1950-1959,337,312,7,17,8,3,20,115,155,128,13,9,2,7,48,10,7,34,19,26
1960-1969,267,238,46,54,54,54,65,133,126,132,44,45,33,38,69,49,32,49,31,31
1970-1979,142,132,109,136,95,118,93,72,62,69,97,74,82,69,76,72,46,41,41,22
1980-1989,67,38,134,115,105,124,92,38,35,42,140,96,77,79,73,60,30,24,26,19
1990-1999,27,20,113,93,69,84,86,21,20,25,71,76,56,46,45,39,30,16,29,13
2000-2009,15,21,203,82,105,82,83,6,7,17,84,99,73,58,48,40,51,16,16,13
2010-2019,5,14,84,40,46,49,36,1,3,4,44,35,30,23,17,13,18,3,10,11
2020-2029,0,0,3,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0
Total,1203,1006,708,543,486,525,484,497,504,502,497,441,359,326,395,300,216,210,182,142
