,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,314,179,2,2,0,2,2,132,124,76,1,2,2,2,4,5,3,39,1,2
1930-1939,349,359,0,0,0,1,2,176,136,121,2,1,0,0,6,7,1,43,2,6
1940-1949,304,262,11,8,11,7,12,92,96,90,14,8,6,4,22,6,4,36,20,9
1950-1959,268,347,11,7,3,2,14,98,124,122,8,9,8,8,21,16,4,34,10,19
1960-1969,270,299,47,62,36,38,59,134,132,129,43,49,45,40,80,39,17,34,36,30
1970-1979,183,128,142,102,120,142,113,81,81,86,119,95,81,99,87,66,57,39,52,31
1980-1989,99,154,156,141,130,141,106,41,46,50,148,131,82,87,77,87,55,13,46,24
1990-1999,38,41,218,161,157,158,153,20,29,41,122,121,96,90,63,70,61,28,45,21
2000-2009,29,33,216,122,156,112,116,16,12,17,108,110,82,86,56,62,50,17,26,14
2010-2019,13,32,210,127,118,79,112,9,9,11,73,104,64,59,53,66,48,14,22,16
2020-2029,0,0,3,4,4,2,1,1,0,0,3,1,2,1,1,2,1,0,1,0
Total,1867,1834,1016,736,735,684,690,800,789,743,641,631,468,476,470,426,301,297,261,172
