,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.443,0.064,0.0,0.004,0.004,0.008,0.0,0.152,0.133,0.106,0.0,0.0,0.004,0.0,0.008,0.023,0.0,0.049,0.0,0.004
1930-1939,0.271,0.299,0.0,0.0,0.007,0.0,0.007,0.104,0.09,0.125,0.0,0.007,0.0,0.0,0.007,0.014,0.007,0.042,0.014,0.007
1940-1949,0.314,0.287,0.015,0.008,0.003,0.013,0.012,0.092,0.079,0.065,0.007,0.007,0.008,0.01,0.027,0.015,0.002,0.013,0.013,0.008
1950-1959,0.264,0.244,0.005,0.013,0.006,0.002,0.016,0.09,0.121,0.1,0.01,0.007,0.002,0.005,0.038,0.008,0.005,0.027,0.015,0.02
1960-1969,0.168,0.15,0.029,0.034,0.034,0.034,0.041,0.084,0.079,0.083,0.028,0.028,0.021,0.024,0.043,0.031,0.02,0.031,0.019,0.019
1970-1979,0.086,0.08,0.066,0.083,0.058,0.072,0.056,0.044,0.038,0.042,0.059,0.045,0.05,0.042,0.046,0.044,0.028,0.025,0.025,0.013
1980-1989,0.047,0.027,0.095,0.081,0.074,0.088,0.065,0.027,0.025,0.03,0.099,0.068,0.054,0.056,0.052,0.042,0.021,0.017,0.018,0.013
1990-1999,0.028,0.02,0.115,0.095,0.07,0.086,0.088,0.021,0.02,0.026,0.073,0.078,0.057,0.047,0.046,0.04,0.031,0.016,0.03,0.013
2000-2009,0.013,0.019,0.181,0.073,0.094,0.073,0.074,0.005,0.006,0.015,0.075,0.088,0.065,0.052,0.043,0.036,0.046,0.014,0.014,0.012
2010-2019,0.01,0.029,0.173,0.082,0.095,0.101,0.074,0.002,0.006,0.008,0.091,0.072,0.062,0.047,0.035,0.027,0.037,0.006,0.021,0.023
2020-2029,0.0,0.0,0.333,0.0,0.0,0.111,0.111,0.111,0.111,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.149,0.111,0.092,0.043,0.04,0.053,0.049,0.067,0.064,0.055,0.04,0.057,0.029,0.026,0.031,0.025,0.018,0.022,0.015,0.012
