,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0
1930-1939,0.0,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0
1940-1949,0.0,0.0,0.368,0.0,0.158,0.368,0.0,0.0,0.0,0.0,0.0,0.105,0.0
1950-1959,0.0,0.0,0.306,0.0,0.375,0.264,0.0,0.0,0.0,0.0,0.0,0.056,0.0
1960-1969,0.0,0.0,0.315,0.0,0.397,0.274,0.0,0.0,0.0,0.0,0.0,0.014,0.0
1970-1979,0.0,0.0,0.392,0.0,0.405,0.139,0.0,0.0,0.0,0.0,0.0,0.063,0.0
1980-1989,0.0,0.0,0.318,0.0,0.576,0.098,0.0,0.0,0.0,0.0,0.0,0.008,0.0
1990-1999,0.0,0.0,0.457,0.0,0.446,0.054,0.0,0.0,0.0,0.011,0.0,0.033,0.0
2000-2009,0.0,0.0,0.409,0.0,0.523,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.446,0.0,0.351,0.149,0.0,0.0,0.0,0.0,0.0,0.054,0.0
2020-2029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.0,0.283,0.0,0.421,0.16,0.0,0.0,0.0,0.001,0.0,0.135,0.0
