,0,1,2,3,4,5,6,7,8,9,10,11,12
1920-1929,0.0,0.0,0.647,0.0,0.107,0.093,0.0,0.0,0.0,0.004,0.0,0.149,0.0
1930-1939,0.0,0.0,0.617,0.0,0.163,0.12,0.0,0.0,0.0,0.002,0.0,0.098,0.0
1940-1949,0.0,0.0,0.512,0.001,0.255,0.18,0.0,0.0,0.0,0.005,0.0,0.047,0.0
1950-1959,0.0,0.0,0.327,0.0,0.407,0.211,0.0,0.0,0.0,0.01,0.0,0.044,0.0
1960-1969,0.0,0.0,0.289,0.0,0.462,0.237,0.0,0.0,0.0,0.001,0.0,0.011,0.0
1970-1979,0.0,0.0,0.275,0.0,0.553,0.155,0.0,0.0,0.0,0.002,0.0,0.016,0.0
1980-1989,0.0,0.0,0.21,0.0,0.704,0.082,0.0,0.0,0.0,0.003,0.0,0.0,0.0
1990-1999,0.0,0.0,0.42,0.0,0.48,0.067,0.0,0.0,0.0,0.0,0.0,0.033,0.0
2000-2009,0.0,0.0,0.368,0.0,0.568,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.495,0.0,0.43,0.065,0.0,0.0,0.0,0.0,0.0,0.009,0.0
2020-2029,,,,,,,,,,,,,
Total,0.0,0.0,0.416,0.0,0.413,0.127,0.0,0.0,0.0,0.003,0.0,0.041,0.0
