,0,1,2,3
1920-1929,0,0,0,183
1930-1939,0,0,0,364
1940-1949,0,0,0,266
1950-1959,0,0,0,353
1960-1969,0,0,0,307
1970-1979,0,0,0,129
1980-1989,0,0,0,155
1990-1999,0,0,0,42
2000-2009,0,0,0,33
2010-2019,0,0,0,33
2020-2029,0,0,0,0
Total,0,0,0,1865
