,0,1,2,3
1920-1929,0,0,0,44
1930-1939,0,0,0,78
1940-1949,0,0,0,176
1950-1959,0,0,0,149
1960-1969,0,0,0,195
1970-1979,0,0,0,122
1980-1989,0,0,0,94
1990-1999,0,0,0,22
2000-2009,0,0,0,13
2010-2019,0,0,0,16
2020-2029,0,0,0,0
Total,0,0,0,909
