,0,1,2,3
1920-1929,0,0,0,161
1930-1939,0,0,0,500
1940-1949,0,0,0,530
1950-1959,0,0,0,311
1960-1969,0,0,0,302
1970-1979,0,0,0,191
1980-1989,0,0,0,121
1990-1999,0,0,0,45
2000-2009,0,0,0,24
2010-2019,0,0,0,19
2020-2029,0,0,0,0
Total,0,0,0,2204
