,0,1,2,3
1920-1929,0,0,0,0
1930-1939,0,0,0,0
1940-1949,0,0,0,0
1950-1959,0,0,0,0
1960-1969,0,0,0,11
1970-1979,0,0,0,89
1980-1989,0,0,0,54
1990-1999,0,0,0,59
2000-2009,0,0,0,19
2010-2019,0,0,0,32
2020-2029,0,0,0,0
Total,0,0,0,264
