,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.087,0.017,0.02,0.003,0.024,0.007,0.011,0.012,0.249,0.008,0.007,0.014,0.061,0.008,0.02,0.141,0.137,0.012,0.158,0.005
1930-1939,0.02,0.004,0.02,0.006,0.05,0.024,0.017,0.024,0.227,0.009,0.012,0.009,0.024,0.02,0.022,0.141,0.165,0.007,0.186,0.013
1940-1949,0.018,0.022,0.024,0.005,0.047,0.01,0.054,0.046,0.126,0.007,0.025,0.008,0.071,0.019,0.022,0.248,0.148,0.019,0.062,0.019
1950-1959,0.051,0.027,0.058,0.009,0.062,0.027,0.076,0.032,0.081,0.014,0.041,0.009,0.076,0.025,0.027,0.111,0.153,0.033,0.078,0.011
1960-1969,0.082,0.035,0.095,0.013,0.057,0.026,0.069,0.066,0.035,0.024,0.032,0.017,0.083,0.025,0.033,0.069,0.124,0.038,0.059,0.017
1970-1979,0.064,0.04,0.107,0.023,0.087,0.025,0.067,0.077,0.02,0.037,0.027,0.035,0.079,0.024,0.046,0.033,0.09,0.061,0.033,0.025
1980-1989,0.05,0.034,0.075,0.037,0.133,0.02,0.078,0.083,0.015,0.041,0.029,0.025,0.07,0.035,0.057,0.026,0.08,0.051,0.022,0.04
1990-1999,0.038,0.045,0.045,0.026,0.178,0.016,0.073,0.074,0.01,0.067,0.02,0.03,0.06,0.04,0.055,0.016,0.072,0.061,0.017,0.054
2000-2009,0.026,0.045,0.027,0.054,0.24,0.011,0.069,0.054,0.007,0.104,0.015,0.031,0.051,0.029,0.049,0.015,0.051,0.041,0.013,0.067
2010-2019,0.017,0.048,0.023,0.053,0.241,0.012,0.065,0.051,0.008,0.129,0.015,0.027,0.046,0.034,0.064,0.013,0.045,0.028,0.013,0.069
2020-2029,0.003,0.036,0.013,0.035,0.186,0.008,0.076,0.06,0.007,0.19,0.016,0.009,0.014,0.092,0.066,0.012,0.038,0.031,0.001,0.107
Total,0.041,0.032,0.046,0.024,0.119,0.017,0.06,0.053,0.071,0.057,0.022,0.019,0.058,0.032,0.042,0.075,0.1,0.035,0.058,0.039
