,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,1680,806,5,10,8,7,20,684,714,465,4,3,10,5,15,28,5,198,5,24
1930-1939,1464,1485,2,10,5,2,29,650,592,521,8,5,4,3,37,29,6,184,19,25
1940-1949,1694,1794,52,46,34,38,50,608,547,480,49,35,28,29,107,49,23,169,82,65
1950-1959,1392,1525,46,53,42,11,76,549,633,601,42,31,22,31,147,56,25,154,74,75
1960-1969,1424,1426,279,348,239,311,309,779,743,889,294,233,206,218,382,209,139,257,195,183
1970-1979,928,868,787,830,613,810,678,483,426,458,657,573,507,547,540,441,343,227,282,179
1980-1989,531,609,958,855,778,810,675,275,267,282,830,663,526,519,507,444,349,158,257,152
1990-1999,268,337,1169,909,883,908,858,157,170,206,815,762,637,598,471,455,411,151,264,133
2000-2009,201,202,1709,978,1092,919,913,111,120,147,790,908,700,609,446,488,465,140,209,109
2010-2019,100,277,1470,788,853,643,726,40,44,67,608,615,520,451,336,412,366,96,166,96
2020-2029,2,3,24,9,17,7,10,2,2,0,12,6,8,4,7,9,4,0,1,0
Total,9684,9332,6501,4836,4564,4466,4344,4338,4258,4116,4109,3834,3168,3014,2995,2620,2136,1734,1554,1041
