,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.358,0.172,0.001,0.002,0.002,0.001,0.004,0.146,0.152,0.099,0.001,0.001,0.002,0.001,0.003,0.006,0.001,0.042,0.001,0.005
1930-1939,0.288,0.292,0.0,0.002,0.001,0.0,0.006,0.128,0.117,0.103,0.002,0.001,0.001,0.001,0.007,0.006,0.001,0.036,0.004,0.005
1940-1949,0.283,0.3,0.009,0.008,0.006,0.006,0.008,0.102,0.091,0.08,0.008,0.006,0.005,0.005,0.018,0.008,0.004,0.028,0.014,0.011
1950-1959,0.249,0.273,0.008,0.009,0.008,0.002,0.014,0.098,0.113,0.108,0.008,0.006,0.004,0.006,0.026,0.01,0.004,0.028,0.013,0.013
1960-1969,0.157,0.157,0.031,0.038,0.026,0.034,0.034,0.086,0.082,0.098,0.032,0.026,0.023,0.024,0.042,0.023,0.015,0.028,0.022,0.02
1970-1979,0.083,0.078,0.07,0.074,0.055,0.072,0.061,0.043,0.038,0.041,0.059,0.051,0.045,0.049,0.048,0.039,0.031,0.02,0.025,0.016
1980-1989,0.051,0.058,0.092,0.082,0.074,0.078,0.065,0.026,0.026,0.027,0.079,0.063,0.05,0.05,0.049,0.043,0.033,0.015,0.025,0.015
1990-1999,0.025,0.032,0.111,0.086,0.084,0.086,0.081,0.015,0.016,0.02,0.077,0.072,0.06,0.057,0.045,0.043,0.039,0.014,0.025,0.013
2000-2009,0.018,0.018,0.152,0.087,0.097,0.082,0.081,0.01,0.011,0.013,0.07,0.081,0.062,0.054,0.04,0.043,0.041,0.012,0.019,0.01
2010-2019,0.012,0.032,0.169,0.091,0.098,0.074,0.084,0.005,0.005,0.008,0.07,0.071,0.06,0.052,0.039,0.047,0.042,0.011,0.019,0.011
2020-2029,0.016,0.024,0.189,0.071,0.134,0.055,0.079,0.016,0.016,0.0,0.094,0.047,0.063,0.031,0.055,0.071,0.031,0.0,0.008,0.0
Total,0.14,0.131,0.076,0.05,0.053,0.045,0.047,0.061,0.061,0.054,0.046,0.039,0.034,0.03,0.034,0.031,0.022,0.021,0.016,0.011
