,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
1960-1969,0.118,0.0,0.051,0.051,0.015,0.0,0.037,0.007,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.081,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.132,0.11,0.022,0.0,0.0,0.007,0.0,0.007,0.0,0.0,0.0,0.007,0.0,0.029,0.103,0.14,0.059,0.0
1970-1979,0.107,0.0,0.029,0.039,0.019,0.019,0.019,0.01,0.0,0.0,0.019,0.0,0.01,0.019,0.01,0.068,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.049,0.175,0.136,0.019,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.019,0.0,0.01,0.01,0.01,0.107,0.049,0.0
1980-1989,0.095,0.0,0.059,0.072,0.005,0.005,0.036,0.054,0.0,0.0,0.063,0.009,0.018,0.023,0.014,0.036,0.009,0.023,0.0,0.014,0.0,0.0,0.005,0.086,0.117,0.077,0.036,0.041,0.005,0.005,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.014,0.005,0.023,0.041,0.0
1990-1999,0.068,0.0,0.038,0.077,0.072,0.025,0.016,0.032,0.0,0.0,0.097,0.061,0.056,0.031,0.031,0.022,0.023,0.036,0.0,0.02,0.0,0.0,0.004,0.045,0.031,0.025,0.018,0.022,0.011,0.011,0.0,0.016,0.014,0.0,0.009,0.0,0.009,0.014,0.002,0.023,0.04,0.0
2000-2009,0.006,0.0,0.003,0.11,0.118,0.049,0.001,0.017,0.0,0.0,0.071,0.085,0.075,0.033,0.053,0.007,0.011,0.057,0.0,0.031,0.0,0.0,0.003,0.033,0.01,0.012,0.0,0.042,0.024,0.032,0.0,0.029,0.026,0.0,0.024,0.0,0.029,0.004,0.001,0.001,0.004,0.0
2010-2019,0.006,0.0,0.001,0.076,0.076,0.124,0.0,0.016,0.0,0.0,0.072,0.07,0.072,0.036,0.08,0.005,0.005,0.049,0.0,0.024,0.0,0.0,0.001,0.015,0.007,0.009,0.004,0.025,0.062,0.029,0.0,0.034,0.03,0.001,0.041,0.001,0.012,0.006,0.002,0.002,0.007,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.067,0.0,0.0,0.033,0.0,0.2,0.033,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.033,0.0,0.233,0.0,0.0,0.0,0.0,0.033,0.033,0.0
Total,0.065,0.0,0.018,0.043,0.03,0.029,0.011,0.02,0.0,0.0,0.056,0.022,0.043,0.043,0.029,0.047,0.006,0.017,0.0,0.019,0.0,0.0,0.001,0.024,0.167,0.077,0.01,0.014,0.011,0.016,0.0,0.011,0.01,0.0,0.033,0.001,0.027,0.008,0.012,0.033,0.023,0.025
