,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1960-1969,16,0,7,7,2,0,5,1,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,1,18,15,3,0,0,1,0,1,0,0,0,1,0,4,14,19,8,0,0,0,11,0,0,0
1970-1979,11,0,3,4,2,2,2,1,0,0,2,0,1,2,1,7,0,1,0,0,0,0,0,5,18,14,2,1,1,1,0,1,0,0,2,0,1,1,1,11,5,0,1,0,3,0,0,1
1980-1989,21,0,13,16,1,1,8,12,0,0,14,2,4,5,3,8,2,5,0,3,0,0,1,19,26,17,8,9,1,1,0,2,0,0,0,0,2,3,1,5,9,0,5,0,7,0,2,0
1990-1999,38,0,21,43,40,14,9,18,0,0,54,34,31,17,17,12,13,20,0,11,0,0,2,25,17,14,10,12,6,6,0,9,8,0,5,0,5,8,1,13,22,0,7,3,7,0,5,0
2000-2009,4,0,2,79,85,35,1,12,0,0,51,61,54,24,38,5,8,41,0,22,0,0,2,24,7,9,0,30,17,23,0,21,19,0,17,0,21,3,1,1,3,0,2,6,0,0,1,0
2010-2019,6,0,1,74,74,121,0,16,0,0,70,68,70,35,78,5,5,48,0,23,0,0,1,15,7,9,4,24,60,28,0,33,29,1,40,1,12,6,2,2,7,0,12,3,0,0,7,4
2020-2029,0,0,0,0,0,2,0,2,0,0,1,0,6,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7,0,0,0,0,1,1,0,1,1,0,0,0,0
Total,97,0,47,223,204,175,25,62,0,0,194,165,166,85,140,49,29,115,0,62,0,0,6,89,98,80,27,76,85,62,0,67,57,1,71,2,42,25,20,52,55,1,28,13,28,0,15,5
