,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.01,0.027,0.148,0.034,0.199,0.054,0.0,0.007,0.03,0.027,0.03,0.145,0.051,0.01,0.013,0.01,0.04,0.158,0.007
1930-1939,0.0,0.05,0.018,0.16,0.041,0.198,0.053,0.0,0.015,0.0,0.027,0.009,0.047,0.136,0.027,0.056,0.018,0.041,0.074,0.03
1940-1949,0.0,0.0,0.1,0.0,0.167,0.1,0.067,0.0,0.0,0.033,0.0,0.0,0.133,0.033,0.0,0.0,0.1,0.1,0.0,0.167
1950-1959,0.003,0.022,0.074,0.083,0.034,0.268,0.028,0.0,0.006,0.006,0.012,0.046,0.172,0.046,0.015,0.037,0.022,0.04,0.077,0.009
1960-1969,0.025,0.101,0.051,0.071,0.069,0.155,0.042,0.006,0.016,0.007,0.01,0.042,0.145,0.087,0.02,0.027,0.015,0.05,0.037,0.026
1970-1979,0.016,0.046,0.032,0.085,0.091,0.148,0.065,0.007,0.017,0.007,0.017,0.063,0.103,0.083,0.017,0.037,0.016,0.059,0.061,0.03
1980-1989,0.015,0.021,0.04,0.081,0.101,0.139,0.077,0.009,0.023,0.009,0.029,0.055,0.08,0.097,0.019,0.035,0.017,0.057,0.066,0.032
1990-1999,0.016,0.016,0.039,0.077,0.077,0.143,0.048,0.02,0.032,0.015,0.028,0.051,0.071,0.142,0.035,0.028,0.024,0.058,0.05,0.03
2000-2009,0.012,0.014,0.035,0.056,0.065,0.125,0.024,0.029,0.029,0.018,0.026,0.035,0.061,0.197,0.06,0.033,0.041,0.052,0.051,0.036
2010-2019,0.015,0.008,0.034,0.045,0.066,0.11,0.023,0.048,0.015,0.03,0.025,0.024,0.054,0.186,0.079,0.029,0.072,0.058,0.048,0.031
2020-2029,0.019,0.008,0.026,0.053,0.062,0.117,0.026,0.078,0.013,0.005,0.025,0.017,0.078,0.186,0.067,0.031,0.049,0.05,0.05,0.038
Total,0.011,0.027,0.043,0.078,0.073,0.155,0.046,0.018,0.016,0.015,0.021,0.034,0.099,0.113,0.032,0.03,0.035,0.055,0.061,0.04
