,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.111,0.0,0.333,0.111,0.111,0.111,0.111,0.0,0.0,0.111
1960-1969,0.135,0.078,0.214,0.008,0.085,0.237,0.125,0.009,0.082,0.026
1970-1979,0.199,0.069,0.159,0.012,0.036,0.173,0.175,0.008,0.149,0.02
1980-1989,0.217,0.08,0.117,0.037,0.048,0.134,0.16,0.024,0.149,0.033
1990-1999,0.102,0.089,0.093,0.141,0.08,0.099,0.083,0.112,0.09,0.11
2000-2009,0.014,0.054,0.033,0.274,0.119,0.025,0.01,0.277,0.045,0.148
2010-2019,0.003,0.047,0.021,0.341,0.075,0.008,0.007,0.329,0.037,0.131
2020-2029,0.0,0.03,0.03,0.358,0.045,0.015,0.0,0.373,0.06,0.09
Total,0.071,0.041,0.176,0.117,0.242,0.073,0.061,0.103,0.056,0.061
