,0,1,2,3,4,5,6,7,8,9
1920-1929,0.579,0.224,0.001,0.002,0.002,0.035,0.003,0.003,0.135,0.017
1930-1939,0.414,0.39,0.0,0.005,0.002,0.033,0.003,0.003,0.135,0.015
1940-1949,0.393,0.395,0.006,0.01,0.009,0.03,0.01,0.021,0.104,0.021
1950-1959,0.334,0.346,0.016,0.009,0.006,0.07,0.027,0.036,0.14,0.015
1960-1969,0.225,0.203,0.042,0.047,0.055,0.135,0.074,0.065,0.118,0.038
1970-1979,0.092,0.096,0.086,0.091,0.116,0.135,0.16,0.109,0.062,0.053
1980-1989,0.066,0.09,0.127,0.12,0.125,0.129,0.136,0.103,0.036,0.069
1990-1999,0.035,0.03,0.178,0.175,0.13,0.098,0.123,0.121,0.033,0.078
2000-2009,0.031,0.017,0.254,0.188,0.149,0.084,0.077,0.106,0.014,0.08
2010-2019,0.017,0.014,0.339,0.177,0.144,0.067,0.071,0.084,0.009,0.079
2020-2029,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2
Total,0.189,0.162,0.115,0.092,0.083,0.087,0.077,0.072,0.072,0.05
