,0,1,2,3
1920-1929,0,0,0,823
1930-1939,0,0,0,1505
1940-1949,0,0,1,1816
1950-1959,0,0,0,1559
1960-1969,0,0,1,1465
1970-1979,0,0,0,883
1980-1989,0,0,0,618
1990-1999,0,0,0,339
2000-2009,0,0,0,203
2010-2019,0,0,0,279
2020-2029,0,0,0,3
Total,0,0,2,9493
