lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mass,0.001,0.004,0.167,0.002,0.098,0.1,0.101,0.07,0.093,0.06,0.015,0.048,0.049,0.051,0.015,0.011,0.014,0.05,0.044,0.008
medi,0.21,0.183,0.001,0.153,0.024,0.006,0.004,0.031,0.004,0.029,0.07,0.028,0.026,0.021,0.051,0.055,0.051,0.013,0.011,0.032
