lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
mass,4,25,1004,12,590,604,606,422,557,360,89,286,293,309,90,64,86,302,266,47
medi,1260,1101,8,918,143,36,22,185,22,172,421,167,154,124,305,329,304,80,67,195
