,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1920-1929,0.097,0.032,0.0,0.065,0.0,0.0,0.097,0.0,0.016,0.0,0.0,0.0,0.016,0.016,0.0,0.0,0.032,0.0,0.0,0.081,0.016,0.0,0.0,0.0,0.016,0.065,0.0,0.081,0.113,0.016,0.032,0.016,0.016,0.016,0.032,0.0,0.016,0.032,0.0,0.048,0.0,0.0,0.016,0.016
1930-1939,0.204,0.022,0.0,0.054,0.0,0.0,0.065,0.011,0.032,0.032,0.0,0.0,0.011,0.011,0.011,0.0,0.022,0.011,0.0,0.022,0.043,0.0,0.0,0.0,0.022,0.011,0.022,0.022,0.108,0.0,0.011,0.011,0.0,0.022,0.022,0.022,0.0,0.086,0.0,0.011,0.011,0.022,0.0,0.054
1940-1949,0.157,0.025,0.0,0.04,0.0,0.0,0.11,0.011,0.036,0.027,0.002,0.0,0.029,0.025,0.009,0.0,0.02,0.004,0.007,0.022,0.04,0.016,0.0,0.007,0.011,0.022,0.007,0.022,0.083,0.002,0.034,0.018,0.007,0.004,0.02,0.002,0.007,0.098,0.002,0.038,0.0,0.004,0.009,0.022
1950-1959,0.113,0.027,0.0,0.032,0.0,0.0,0.089,0.018,0.018,0.034,0.0,0.0,0.03,0.016,0.007,0.005,0.029,0.021,0.011,0.02,0.048,0.011,0.0,0.007,0.005,0.02,0.004,0.039,0.104,0.002,0.021,0.02,0.02,0.004,0.032,0.014,0.032,0.079,0.004,0.032,0.002,0.002,0.0,0.029
1960-1969,0.033,0.04,0.0,0.057,0.0,0.0,0.079,0.021,0.067,0.009,0.0,0.0,0.03,0.021,0.011,0.015,0.035,0.006,0.018,0.026,0.021,0.015,0.0,0.014,0.018,0.032,0.009,0.031,0.047,0.004,0.039,0.021,0.029,0.022,0.052,0.023,0.035,0.035,0.01,0.026,0.005,0.014,0.014,0.014
1970-1979,0.008,0.049,0.0,0.066,0.0,0.0,0.067,0.026,0.071,0.002,0.0,0.0,0.036,0.037,0.016,0.018,0.047,0.003,0.023,0.029,0.007,0.018,0.0,0.018,0.016,0.037,0.017,0.034,0.03,0.005,0.044,0.016,0.033,0.019,0.044,0.032,0.035,0.02,0.02,0.024,0.004,0.012,0.012,0.005
1980-1989,0.004,0.068,0.0,0.072,0.0,0.0,0.059,0.036,0.065,0.0,0.0,0.0,0.041,0.041,0.028,0.024,0.036,0.001,0.031,0.031,0.004,0.031,0.0,0.039,0.024,0.033,0.019,0.032,0.026,0.003,0.038,0.014,0.029,0.017,0.031,0.03,0.019,0.012,0.016,0.018,0.004,0.012,0.006,0.006
1990-1999,0.001,0.096,0.0,0.081,0.0,0.0,0.05,0.058,0.045,0.0,0.0,0.0,0.044,0.047,0.028,0.02,0.034,0.0,0.034,0.032,0.001,0.038,0.0,0.049,0.029,0.029,0.021,0.026,0.024,0.007,0.025,0.014,0.02,0.031,0.016,0.026,0.01,0.008,0.015,0.015,0.003,0.013,0.006,0.003
2000-2009,0.0,0.13,0.0,0.075,0.0,0.0,0.045,0.085,0.036,0.0,0.0,0.0,0.038,0.038,0.044,0.016,0.028,0.0,0.04,0.036,0.0,0.035,0.0,0.042,0.045,0.03,0.04,0.017,0.02,0.003,0.013,0.007,0.022,0.025,0.013,0.01,0.007,0.006,0.015,0.014,0.001,0.012,0.006,0.003
2010-2019,0.0,0.146,0.0,0.066,0.0,0.0,0.03,0.096,0.031,0.0,0.0,0.0,0.032,0.038,0.079,0.006,0.027,0.0,0.051,0.029,0.0,0.069,0.0,0.024,0.035,0.021,0.045,0.021,0.016,0.003,0.015,0.007,0.016,0.019,0.01,0.006,0.006,0.005,0.012,0.016,0.002,0.011,0.006,0.002
2020-2029,0.0,0.197,0.0,0.0,0.0,0.0,0.0,0.033,0.033,0.0,0.0,0.0,0.049,0.0,0.18,0.0,0.0,0.0,0.098,0.049,0.0,0.082,0.0,0.0,0.066,0.016,0.066,0.0,0.016,0.0,0.016,0.016,0.016,0.016,0.0,0.016,0.0,0.0,0.016,0.016,0.0,0.0,0.0,0.0
Total,0.056,0.076,0.0,0.055,0.0,0.0,0.063,0.036,0.041,0.009,0.0,0.0,0.032,0.026,0.038,0.01,0.028,0.004,0.028,0.034,0.016,0.029,0.0,0.018,0.026,0.029,0.023,0.029,0.053,0.004,0.026,0.015,0.019,0.018,0.025,0.017,0.015,0.035,0.01,0.023,0.003,0.009,0.007,0.014
