,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,0.173,0.0,0.0,0.0,0.019,0.0,0.135,0.019,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.077,0.019,0.019,0.0,0.0,0.038,0.038,0.019,0.058,0.0,0.038,0.0,0.077,0.038,0.0,0.019,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.058,0.0,0.0
1950-1959,0.0,0.045,0.0,0.0,0.114,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136,0.023,0.068,0.0,0.0,0.0,0.023,0.0,0.136,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.023,0.045,0.0,0.0,0.023,0.0,0.045,0.0,0.0,0.0,0.045,0.091,0.045,0.0,0.0
1960-1969,0.052,0.009,0.049,0.003,0.012,0.0,0.049,0.012,0.003,0.0,0.061,0.02,0.0,0.009,0.006,0.0,0.023,0.023,0.032,0.009,0.012,0.029,0.023,0.035,0.078,0.0,0.043,0.035,0.032,0.029,0.0,0.014,0.009,0.023,0.003,0.032,0.0,0.017,0.049,0.003,0.014,0.029,0.0,0.014,0.035,0.035,0.032,0.0,0.009
1970-1979,0.043,0.012,0.033,0.0,0.003,0.0,0.069,0.027,0.002,0.0,0.071,0.024,0.001,0.009,0.004,0.0,0.007,0.021,0.049,0.013,0.03,0.015,0.015,0.033,0.058,0.0,0.038,0.029,0.033,0.03,0.003,0.029,0.007,0.027,0.005,0.012,0.0,0.019,0.056,0.003,0.036,0.034,0.0,0.016,0.025,0.022,0.027,0.006,0.003
1980-1989,0.031,0.019,0.031,0.0,0.001,0.0,0.062,0.025,0.0,0.0,0.062,0.025,0.0,0.012,0.0,0.0,0.003,0.027,0.08,0.012,0.042,0.015,0.013,0.034,0.06,0.0,0.037,0.028,0.038,0.026,0.0,0.039,0.004,0.029,0.002,0.007,0.0,0.025,0.02,0.004,0.039,0.029,0.0,0.029,0.017,0.024,0.037,0.003,0.007
1990-1999,0.023,0.023,0.029,0.0,0.001,0.0,0.071,0.021,0.0,0.0,0.045,0.022,0.0,0.009,0.0,0.0,0.001,0.026,0.097,0.005,0.032,0.013,0.01,0.027,0.044,0.0,0.04,0.036,0.024,0.027,0.0,0.035,0.009,0.062,0.001,0.01,0.0,0.037,0.011,0.004,0.034,0.039,0.0,0.045,0.016,0.032,0.031,0.003,0.004
2000-2009,0.015,0.046,0.02,0.0,0.0,0.0,0.077,0.035,0.0,0.0,0.032,0.011,0.0,0.009,0.0,0.0,0.001,0.032,0.138,0.005,0.054,0.014,0.006,0.025,0.038,0.0,0.039,0.026,0.021,0.028,0.0,0.027,0.003,0.082,0.0,0.004,0.0,0.044,0.008,0.001,0.04,0.011,0.0,0.047,0.011,0.016,0.029,0.002,0.003
2010-2019,0.013,0.058,0.02,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.029,0.007,0.0,0.012,0.0,0.0,0.0,0.045,0.158,0.002,0.046,0.013,0.009,0.023,0.04,0.0,0.032,0.021,0.015,0.026,0.0,0.024,0.001,0.102,0.0,0.005,0.0,0.049,0.004,0.002,0.036,0.006,0.0,0.052,0.013,0.018,0.027,0.0,0.001
2020-2029,0.038,0.0,0.038,0.0,0.0,0.0,0.115,0.115,0.0,0.0,0.038,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.038,0.0,0.038,0.0,0.0,0.0,0.038,0.0,0.0,0.038,0.0,0.077,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.0,0.038,0.0,0.038,0.0,0.0,0.115,0.0,0.038,0.0,0.0,0.0
Total,0.043,0.024,0.025,0.0,0.017,0.0,0.079,0.032,0.001,0.0,0.042,0.012,0.0,0.011,0.001,0.0,0.028,0.024,0.075,0.005,0.028,0.015,0.015,0.022,0.061,0.0,0.032,0.024,0.027,0.031,0.0,0.021,0.004,0.058,0.004,0.024,0.0,0.021,0.023,0.002,0.031,0.016,0.0,0.036,0.018,0.033,0.032,0.002,0.003
