,0,1,2,3,4,5,6,7,8,9
1920-1929,0.044,0.042,0.038,0.068,0.125,0.028,0.075,0.321,0.206,0.053
1930-1939,0.052,0.044,0.045,0.076,0.137,0.03,0.064,0.318,0.178,0.057
1940-1949,0.064,0.056,0.051,0.076,0.13,0.031,0.07,0.24,0.21,0.072
1950-1959,0.072,0.091,0.057,0.075,0.142,0.034,0.083,0.176,0.185,0.085
1960-1969,0.12,0.112,0.069,0.09,0.13,0.052,0.083,0.12,0.127,0.097
1970-1979,0.157,0.124,0.105,0.083,0.105,0.06,0.102,0.073,0.086,0.104
1980-1989,0.151,0.115,0.118,0.093,0.084,0.088,0.123,0.048,0.067,0.112
1990-1999,0.117,0.102,0.117,0.095,0.081,0.13,0.149,0.035,0.049,0.125
2000-2009,0.071,0.09,0.121,0.097,0.059,0.198,0.182,0.034,0.043,0.105
2010-2019,0.064,0.064,0.126,0.112,0.045,0.254,0.152,0.032,0.035,0.116
2020-2029,0.098,0.07,0.216,0.054,0.036,0.268,0.173,0.018,0.028,0.039
Total,0.112,0.099,0.098,0.089,0.097,0.097,0.117,0.094,0.095,0.102
