,0,1,2,3,4,5,6,7,8,9
1920-1929,0.141,0.023,0.242,0.016,0.219,0.0,0.0,0.062,0.148,0.148
1930-1939,0.111,0.026,0.427,0.034,0.103,0.06,0.017,0.06,0.12,0.043
1940-1949,,,,,,,,,,
1950-1959,0.117,0.058,0.215,0.043,0.034,0.105,0.034,0.062,0.228,0.105
1960-1969,0.066,0.051,0.131,0.085,0.093,0.1,0.047,0.072,0.256,0.099
1970-1979,0.092,0.057,0.119,0.115,0.118,0.106,0.047,0.083,0.131,0.13
1980-1989,0.116,0.066,0.105,0.108,0.125,0.116,0.058,0.098,0.087,0.124
1990-1999,0.106,0.089,0.11,0.089,0.081,0.109,0.104,0.13,0.069,0.113
2000-2009,0.081,0.127,0.091,0.082,0.055,0.082,0.165,0.165,0.051,0.1
2010-2019,0.077,0.16,0.08,0.087,0.054,0.072,0.22,0.133,0.04,0.077
2020-2029,0.073,0.085,0.094,0.106,0.067,0.091,0.217,0.143,0.052,0.072
Total,0.098,0.074,0.161,0.077,0.095,0.084,0.091,0.101,0.118,0.101
