,0,1,2,3,4,5,6,7,8,9
1920-1929,18,3,31,2,28,0,0,8,19,19
1930-1939,13,3,50,4,12,7,2,7,14,5
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,38,19,70,14,11,34,11,20,74,34
1960-1969,1612,1240,3219,2096,2287,2451,1158,1779,6278,2420
1970-1979,4177,2601,5389,5217,5366,4789,2151,3782,5959,5907
1980-1989,5705,3240,5159,5320,6148,5705,2848,4822,4279,6128
1990-1999,3967,3325,4100,3303,3041,4056,3881,4848,2577,4220
2000-2009,2493,3899,2784,2524,1689,2526,5076,5069,1551,3078
2010-2019,2896,6006,2986,3282,2024,2708,8253,4997,1498,2879
2020-2029,86,99,110,124,79,107,254,167,61,84
Total,21005,20435,23898,21886,20685,22383,23634,25499,22310,24774
