lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mass,553,593,457,0,73,0,416,311,433,427,0,0,63,142,0,220,241,52,276,122,226,222,213,10,2,21,138,1,0,60,158,0,51,147,0,127,4,51,63,0,0,78,0,10,0,30,0,17,4,4
medi,184,0,83,514,437,485,43,147,0,0,370,365,298,197,313,88,65,230,0,118,0,1,7,194,191,170,51,186,181,120,1,158,99,2,139,3,104,50,36,98,92,1,69,41,47,0,28,7,0,0
