lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mass,0.092,0.099,0.076,0.0,0.012,0.0,0.069,0.052,0.072,0.071,0.0,0.0,0.01,0.024,0.0,0.037,0.04,0.009,0.046,0.02,0.038,0.037,0.035,0.002,0.0,0.003,0.023,0.0,0.0,0.01,0.026,0.0,0.008,0.024,0.0,0.021,0.001,0.008,0.01,0.0,0.0,0.013,0.0,0.002,0.0,0.005,0.0,0.003,0.001,0.001
medi,0.031,0.0,0.014,0.085,0.073,0.081,0.007,0.024,0.0,0.0,0.062,0.061,0.05,0.033,0.052,0.015,0.011,0.038,0.0,0.02,0.0,0.0,0.001,0.032,0.032,0.028,0.008,0.031,0.03,0.02,0.0,0.026,0.016,0.0,0.023,0.0,0.017,0.008,0.006,0.016,0.015,0.0,0.011,0.007,0.008,0.0,0.005,0.001,0.0,0.0
