,0,1,2,3,4,5,6,7,8,9
1920-1929,0.002,0.395,0.205,0.186,0.001,0.002,0.027,0.004,0.009,0.169
1930-1939,0.002,0.335,0.304,0.168,0.001,0.002,0.021,0.001,0.007,0.161
1940-1949,0.016,0.361,0.262,0.139,0.018,0.018,0.036,0.011,0.032,0.108
1950-1959,0.008,0.274,0.312,0.167,0.019,0.012,0.041,0.013,0.029,0.124
1960-1969,0.057,0.237,0.19,0.122,0.053,0.053,0.072,0.051,0.061,0.105
1970-1979,0.098,0.136,0.069,0.059,0.147,0.104,0.113,0.114,0.091,0.069
1980-1989,0.119,0.075,0.085,0.039,0.171,0.122,0.116,0.124,0.112,0.037
1990-1999,0.138,0.026,0.025,0.027,0.181,0.141,0.15,0.161,0.117,0.036
2000-2009,0.14,0.024,0.023,0.017,0.192,0.151,0.144,0.163,0.119,0.026
2010-2019,0.149,0.015,0.027,0.01,0.212,0.126,0.146,0.178,0.119,0.019
2020-2029,0.185,0.0,0.0,0.0,0.148,0.148,0.148,0.185,0.185,0.0
Total,0.083,0.171,0.136,0.085,0.104,0.08,0.092,0.091,0.08,0.078
