0,1,2,3,4
miljöministern,fostran,tidens,medievanor,civilsamhälle
utspel,påträngande,dagarna,twitter,lättläst
exemplet,konsumentupplysning,månaderna,hat,utgiftsområde
beklaga,utskotten,veckorna,konsumerar,fackföreningar
påstående,televisionens,gångna,nätet,bah
handlade,filmen,malmö,facebook,demokratiminister
lät,räckvidd,etiopien,internet,trossamfund
folkpartiets,mediets,nedläggning,flickor,självständiga
åsikt,skada,sovjetunionen,rörliga,tillgänglighet
tyst,anpassa,norrbotten,plattformar,vakt
stämmer,upplysningsverksamhet,livligt,bloggar,åsiktsbildningen
trodde,massmedium,läkare,tekniken,kulturliv
någonting,statsmakten,bedrivs,alternativa,alice
möjligen,televisionen,sommaren,globala,domstolar
statsråd,fortsättningen,rapporterat,the,oberoende
tyckte,utnyttjas,senaste,tryckta,public
vården,hemmet,frågat,iranska,opposition
ställde,värdefullt,synes,takt,institutioner
missförstånd,upplysning,sovjetiska,biblioteken,demokratiskt
statsministerns,objektiv,deltagit,skrifter,universitet
