,0,1,2,3,4
1920-1929,,,,,
1930-1939,,,,,
1940-1949,,,,,
1950-1959,,,,,
1960-1969,0.245,0.34,0.151,0.264,0.0
1970-1979,0.241,0.24,0.294,0.196,0.029
1980-1989,0.263,0.188,0.31,0.196,0.043
1990-1999,0.235,0.193,0.242,0.247,0.083
2000-2009,0.248,0.159,0.156,0.262,0.175
2010-2019,0.176,0.125,0.144,0.31,0.245
2020-2029,0.092,0.262,0.138,0.231,0.277
Total,0.231,0.18,0.226,0.244,0.119
