,0,1,2,3,4
1920-1929,20,0,2,14,0
1930-1939,15,0,2,15,0
1940-1949,36,0,1,12,0
1950-1959,125,0,10,64,2
1960-1969,212,1,24,122,5
1970-1979,160,0,18,93,3
1980-1989,170,2,29,87,5
1990-1999,140,1,37,91,6
2000-2009,127,0,21,69,8
2010-2019,40,0,11,26,2
2020-2029,1,0,0,0,0
Total,1046,4,155,593,31
