,0,1,2,3,4
1920-1929,0.02,0.01,0.201,0.768,0.0
1930-1939,0.031,0.011,0.233,0.724,0.001
1940-1949,0.031,0.01,0.2,0.759,0.0
1950-1959,0.053,0.011,0.29,0.646,0.001
1960-1969,0.067,0.014,0.286,0.632,0.002
1970-1979,0.071,0.019,0.24,0.67,0.0
1980-1989,0.1,0.018,0.267,0.61,0.004
1990-1999,0.082,0.01,0.343,0.566,0.0
2000-2009,0.071,0.015,0.364,0.543,0.007
2010-2019,0.055,0.016,0.291,0.638,0.0
2020-2029,0.0,0.0,0.333,0.667,0.0
Total,0.053,0.012,0.277,0.656,0.001
