,0,1,2,3,4,5,6,7,8,9
1920-1929,0.395,0.001,0.205,0.004,0.027,0.002,0.002,0.009,0.186,0.169
1930-1939,0.335,0.001,0.304,0.001,0.021,0.002,0.002,0.007,0.168,0.161
1940-1949,0.361,0.018,0.262,0.011,0.036,0.018,0.016,0.032,0.139,0.108
1950-1959,0.274,0.019,0.312,0.013,0.041,0.012,0.008,0.029,0.167,0.124
1960-1969,0.237,0.053,0.19,0.051,0.072,0.053,0.057,0.061,0.122,0.105
1970-1979,0.136,0.147,0.069,0.114,0.113,0.104,0.098,0.091,0.059,0.069
1980-1989,0.075,0.171,0.085,0.124,0.116,0.122,0.119,0.112,0.039,0.037
1990-1999,0.026,0.181,0.025,0.161,0.15,0.141,0.138,0.117,0.027,0.036
2000-2009,0.024,0.192,0.023,0.163,0.144,0.151,0.14,0.119,0.017,0.026
2010-2019,0.015,0.212,0.027,0.178,0.146,0.126,0.149,0.119,0.01,0.019
2020-2029,0.0,0.148,0.0,0.185,0.148,0.148,0.185,0.185,0.0,0.0
