,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.181,0.0,0.218,0.008,0.0,0.0,0.534,0.055,0.004
1930-1939,0.0,0.161,0.0,0.258,0.032,0.0,0.0,0.441,0.108,0.0
1940-1949,0.0,0.159,0.0,0.224,0.006,0.0,0.003,0.545,0.062,0.0
1950-1959,0.0,0.23,0.0,0.261,0.005,0.003,0.001,0.415,0.084,0.0
1960-1969,0.002,0.21,0.0,0.275,0.003,0.0,0.0,0.38,0.13,0.0
1970-1979,0.003,0.182,0.0,0.3,0.003,0.0,0.0,0.366,0.147,0.0
1980-1989,0.0,0.175,0.0,0.34,0.005,0.0,0.0,0.351,0.129,0.0
1990-1999,0.0,0.192,0.0,0.298,0.019,0.0,0.0,0.25,0.24,0.0
2000-2009,0.0,0.245,0.0,0.208,0.019,0.0,0.0,0.264,0.264,0.0
2010-2019,0.0,0.417,0.0,0.417,0.0,0.0,0.0,0.167,0.0,0.0
2020-2029,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,0.0,0.0
Total,0.0,0.196,0.0,0.315,0.009,0.0,0.0,0.368,0.111,0.0
