,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,2,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1930-1939,0,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1940-1949,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1960-1969,4,69,42,3,3,5,0,4,0,14,2,18,2,1,5,2,2,16,0,29
1970-1979,9,40,29,5,2,9,0,3,0,7,1,20,1,1,13,5,0,12,3,4
1980-1989,62,106,53,10,17,22,0,29,0,16,5,16,9,4,57,15,0,44,17,7
1990-1999,256,131,54,12,33,99,0,71,0,50,14,18,68,44,102,58,0,61,38,20
2000-2009,593,64,25,3,3,197,0,176,0,13,22,5,112,93,102,73,1,40,49,2
2010-2019,735,69,16,4,5,351,0,424,1,28,31,6,216,128,83,153,1,28,64,2
2020-2029,20,2,1,0,0,8,0,12,0,1,1,0,12,4,4,0,0,1,1,0
Total,1679,489,230,37,64,693,0,719,1,129,76,85,420,275,367,307,4,202,172,64
