,0,1,2,3,4
1920-1929,0.0,0.852,0.145,0.003,0.0
1930-1939,0.004,0.82,0.174,0.001,0.001
1940-1949,0.003,0.825,0.172,0.0,0.0
1950-1959,0.005,0.738,0.254,0.003,0.0
1960-1969,0.013,0.686,0.293,0.007,0.0
1970-1979,0.028,0.704,0.252,0.016,0.0
1980-1989,0.046,0.631,0.303,0.021,0.0
1990-1999,0.044,0.533,0.4,0.022,0.0
2000-2009,0.039,0.605,0.289,0.066,0.0
2010-2019,0.114,0.636,0.227,0.023,0.0
2020-2029,,,,,
Total,0.03,0.703,0.251,0.016,0.0
