,0,1,2,3,4
1920-1929,0.009,0.879,0.112,0.0,0.0
1930-1939,0.0,0.86,0.127,0.014,0.0
1940-1949,0.004,0.82,0.176,0.0,0.0
1950-1959,0.011,0.724,0.265,0.0,0.0
1960-1969,0.014,0.712,0.25,0.024,0.0
1970-1979,0.017,0.723,0.243,0.017,0.0
1980-1989,0.057,0.599,0.328,0.016,0.0
1990-1999,0.061,0.573,0.329,0.037,0.0
2000-2009,0.038,0.679,0.283,0.0,0.0
2010-2019,0.0,0.636,0.364,0.0,0.0
2020-2029,,,,,
Total,0.021,0.721,0.248,0.011,0.0
