lemmas,0,1,2,3,4,5,6,7,8,9
info,0.258,0.244,0.029,0.184,0.161,0.0,0.001,0.107,0.008,0.009
prop,0.0,0.0,0.0,0.0,0.0,0.796,0.181,0.0,0.0,0.022
uppl,0.0,0.0,0.435,0.004,0.0,0.003,0.236,0.052,0.234,0.035
