,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.001,0.103,0.165,0.098,0.108,0.0,0.091,0.0,0.089,0.051,0.054,0.214,0.001,0.0,0.0,0.0,0.016,0.008,0.001
1970-1979,0.002,0.106,0.12,0.137,0.117,0.003,0.116,0.0,0.123,0.06,0.081,0.078,0.002,0.002,0.002,0.0,0.042,0.006,0.004
1980-1989,0.004,0.121,0.101,0.152,0.111,0.003,0.159,0.0,0.099,0.06,0.087,0.039,0.002,0.016,0.004,0.0,0.032,0.007,0.005
1990-1999,0.017,0.135,0.076,0.111,0.116,0.006,0.097,0.0,0.107,0.091,0.059,0.03,0.005,0.048,0.005,0.0,0.069,0.022,0.006
2000-2009,0.075,0.098,0.005,0.014,0.061,0.047,0.005,0.009,0.056,0.15,0.005,0.005,0.028,0.126,0.023,0.0,0.224,0.051,0.019
2010-2019,0.055,0.109,0.036,0.0,0.073,0.073,0.0,0.0,0.036,0.127,0.0,0.0,0.036,0.109,0.018,0.0,0.273,0.036,0.018
2020-2029,,,,,,,,,,,,,,,,,,,
Total,0.022,0.096,0.108,0.073,0.084,0.019,0.102,0.037,0.109,0.077,0.041,0.052,0.011,0.043,0.008,0.0,0.094,0.019,0.008
