0,1,2,3,4
lättläst,beteenden,stod,dagarna,trossamfund
internet,handlingsmönster,beklaga,rapporterat,utgiftsområde
nätet,ang,handlade,veckorna,demokratiskt
alternativa,fostran,utspel,tidens,oberoende
plattformar,inverkan,lät,månaderna,civilsamhälle
konsumerar,påträngande,exemplet,veckan,fackföreningar
hat,upplysningsverksamhet,reaktioner,senaste,tillgänglighet
bloggar,konsumentupplysning,medialt,föranledd,ungern
myndigheten,forskningen,någonting,sommaren,bah
tryckta,förfogande,desto,debatterats,vakt
medievanor,räckvidd,ställde,frågat,rättigheter
twitter,datamaskiner,märkligt,förekommit,förutsättning
tillgängliga,radio,väcker,senare,fria
rörliga,televisionen,massmedial,tillfällen,demokratiminister
facebook,härtill,hitta,nedläggning,public
digitala,genomslagskraft,förstått,sovjetunionen,självständiga
tekniken,hemmet,trodde,cirkulerat,makten
teknik,televisionens,frågorna,nyligen,alice
traditionella,television,påstående,malmö,opposition
grundlagsskydd,massmedium,förklaring,gällt,domstolar
