,0,1,2,3,4,5,6,7,8,9
1920-1929,0.1,0.0,0.125,0.0,0.1,0.0,0.0,0.0,0.375,0.3
1930-1939,0.262,0.0,0.238,0.0,0.048,0.0,0.0,0.0,0.286,0.167
1940-1949,0.292,0.05,0.158,0.058,0.05,0.067,0.05,0.092,0.117,0.067
1950-1959,0.281,0.013,0.23,0.019,0.054,0.009,0.003,0.044,0.196,0.151
1960-1969,0.18,0.072,0.098,0.072,0.105,0.061,0.055,0.057,0.175,0.123
1970-1979,0.1,0.152,0.054,0.125,0.128,0.104,0.124,0.1,0.052,0.062
1980-1989,0.059,0.174,0.056,0.142,0.134,0.123,0.123,0.113,0.039,0.039
1990-1999,0.034,0.183,0.026,0.169,0.145,0.136,0.137,0.118,0.025,0.027
2000-2009,0.024,0.21,0.012,0.171,0.13,0.147,0.136,0.125,0.019,0.026
2010-2019,0.011,0.212,0.029,0.194,0.138,0.133,0.142,0.114,0.01,0.017
2020-2029,0.036,0.143,0.036,0.179,0.143,0.214,0.143,0.107,0.0,0.0
Total,0.054,0.179,0.04,0.155,0.131,0.125,0.126,0.111,0.039,0.039
