,0,1,2,3,4
1920-1929,0.375,0.438,0.0,0.0,0.188
1930-1939,0.3,0.367,0.1,0.167,0.067
1940-1949,,,,,
1950-1959,0.462,0.115,0.115,0.173,0.135
1960-1969,0.401,0.184,0.17,0.075,0.169
1970-1979,0.278,0.177,0.221,0.096,0.228
1980-1989,0.204,0.192,0.246,0.116,0.243
1990-1999,0.179,0.257,0.189,0.17,0.205
2000-2009,0.118,0.297,0.171,0.294,0.12
2010-2019,0.105,0.229,0.175,0.359,0.132
2020-2029,0.067,0.168,0.168,0.555,0.042
Total,0.249,0.242,0.156,0.2,0.153
