,0,1,2,3,4
1920-1929,0.0,0.647,0.118,0.0,0.235
1930-1939,,,,,
1940-1949,,,,,
1950-1959,,,,,
1960-1969,0.491,0.154,0.15,0.066,0.138
1970-1979,0.274,0.208,0.219,0.083,0.216
1980-1989,0.201,0.208,0.213,0.111,0.267
1990-1999,0.144,0.278,0.195,0.189,0.194
2000-2009,0.128,0.294,0.199,0.237,0.143
2010-2019,0.1,0.216,0.15,0.407,0.126
2020-2029,0.058,0.202,0.117,0.448,0.175
Total,0.174,0.276,0.17,0.193,0.187
