0,1,2,3,4
höjdes,budgetförslaget,budgetförslaget,budgetförslaget,budgetförslaget
siktade,höjdes,sortimentet,höjdes,prutat
lanka,prutat,göteborgsposten,scen,understryka
sjötransporter,sortimentet,orolig,sjötransporter,sortimentet
fosterdiagnostiken,sjötransporter,hälsofrämjande,lanka,scen
sortimentet,avslutningsvis,somatisk,hälsofrämjande,kollektiva
avslöjanden,kemikalier,ollén,kollektiva,somatisk
kollektiva,hälsofrämjande,prutat,sortimentet,kommunicera
avslutningsvis,kommunicera,avdela,fosterdiagnostiken,orienteringar
blanda,somatisk,sjötransporter,sopor,sopor
kemikalier,göteborgsposten,understryka,somatisk,byggande
somatisk,understryka,presidenten,bestämts,euregler
orolig,flygskatt,besked,avslutningsvis,upphandlat
maktkoncentration,orolig,avslutningsvis,samspela,rapporteringar
en,kollektiva,parts,orienteringar,hälsofrämjande
klandras,bestämts,kollektiva,euregler,höjdes
kommunicera,avslöjanden,stansaab,flygskatt,sammankopplas
tele,parts,höjdes,avslöjanden,presidenten
scen,fosterdiagnostiken,upphandlat,krockar,lasarett
prutat,studeras,psykiatriska,prutat,bostadstillägg
