,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,3,0,1,6,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,0,0,0
1970-1979,2,0,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,4,8,0,1,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,2,0,0,0
1980-1989,6,0,3,6,3,0,1,3,0,0,6,1,3,1,0,3,0,1,0,0,0,0,0,5,6,10,1,6,1,0,0,1,0,0,0,0,0,0,0,1,1,0,5,0,6,0,0,0
1990-1999,19,0,15,16,13,6,6,8,0,0,15,17,11,11,11,3,2,8,0,4,0,0,0,11,8,8,4,5,5,2,0,3,2,0,2,0,5,0,0,3,6,0,4,2,4,0,1,0
2000-2009,2,0,1,28,33,13,1,5,0,0,18,17,11,9,10,1,0,13,0,7,0,0,0,8,3,3,0,18,3,7,0,6,6,1,8,0,15,1,0,0,1,0,0,3,1,0,1,0
2010-2019,1,0,0,28,27,37,1,9,0,0,23,17,20,14,12,1,5,17,0,7,0,0,0,6,3,0,0,9,6,10,0,9,13,0,6,0,4,6,0,0,0,0,7,1,0,0,1,2
2020-2029,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,34,0,21,86,76,57,9,25,0,0,65,54,45,38,33,13,8,40,0,18,0,0,0,31,32,36,5,39,15,19,0,20,21,1,18,0,25,8,2,9,8,0,16,6,16,0,3,2
