,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1960-1969,6,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,6,0,0,0,0,0,0,0
1970-1979,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1980-1989,11,0,2,2,0,1,1,5,0,0,2,0,1,2,1,1,0,1,0,0,0,0,0,0,5,1,3,4,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,4,0,1,0
1990-1999,8,0,2,7,9,3,1,2,0,0,16,3,4,6,2,1,1,4,0,0,0,1,0,3,1,3,2,3,2,1,0,0,1,0,2,0,2,3,0,2,4,0,2,0,0,0,1,0
2000-2009,2,0,0,11,13,3,0,2,0,0,13,10,8,6,4,0,2,3,0,4,0,0,0,4,1,5,0,4,0,5,0,2,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
2010-2019,1,0,0,13,9,23,0,3,0,0,9,13,8,2,8,0,0,10,0,2,0,0,0,4,1,1,0,2,16,2,0,6,3,0,2,0,2,1,0,0,1,0,4,0,0,0,1,2
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,30,0,9,34,31,30,4,13,0,0,40,26,22,16,15,3,3,19,0,9,0,1,0,13,16,13,5,13,18,8,0,8,5,0,6,0,7,6,9,8,18,0,8,0,4,0,3,2
