,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,3,0,2,4,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,5,1,0,0,1,0,0,0,0,0,1,0,0,4,6,0,0,0,0,6,0,0,0
1970-1979,2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,6,6,1,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
1980-1989,8,0,6,10,2,0,3,2,0,0,5,1,2,2,3,4,1,2,0,1,0,0,0,13,14,7,1,1,0,0,0,2,0,0,0,0,1,2,0,4,2,0,0,0,1,0,1,0
1990-1999,5,0,3,19,10,6,2,3,0,0,14,10,9,4,4,6,3,5,0,2,0,0,1,7,1,4,2,5,0,1,0,6,7,0,1,0,1,3,1,5,4,0,2,1,2,0,0,0
2000-2009,0,0,1,24,24,9,1,5,0,0,11,13,4,12,5,2,2,8,0,6,0,0,1,4,2,5,0,7,8,8,0,7,5,0,2,0,8,1,0,0,0,0,2,1,0,0,0,0
2010-2019,4,0,0,32,23,54,0,11,0,0,26,18,27,16,27,3,4,17,0,9,0,0,0,5,3,7,0,10,20,5,1,15,7,0,15,1,7,2,0,1,0,0,6,1,0,0,3,1
2020-2029,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
Total,22,0,13,91,62,70,9,22,0,0,56,43,42,35,41,26,11,32,0,18,0,0,2,30,34,34,5,23,30,17,1,30,19,0,20,2,17,9,6,18,7,0,10,4,10,0,4,1
