,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,2,0,0,4,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,1,3,4,1,0,0,0,0,1,0,0,0,0,0,1,4,5,2,0,0,0,1,0,0,0
1970-1979,4,0,3,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1,4,3,0,1,0,0,0,0,1
1980-1989,5,0,4,7,0,0,3,3,0,0,4,2,1,0,2,2,1,2,0,2,0,0,1,5,9,5,4,1,0,0,0,0,0,0,0,1,1,0,1,1,4,0,0,1,0,0,0,0
1990-1999,11,0,3,8,3,2,2,3,0,0,11,5,8,3,3,3,6,7,0,1,0,0,1,2,6,2,5,2,1,2,0,1,2,0,2,0,2,2,1,1,6,0,1,0,1,0,2,0
2000-2009,1,0,1,20,20,12,0,2,0,0,14,13,10,8,18,1,1,8,0,1,0,0,0,5,2,5,0,8,4,3,0,3,4,0,0,0,10,2,0,0,1,0,2,5,0,0,0,0
2010-2019,0,0,0,4,7,10,0,4,0,0,9,9,7,3,13,0,0,5,0,1,0,0,0,1,1,1,1,2,6,7,0,2,3,0,4,0,4,0,1,0,0,0,0,0,0,0,1,0
2020-2029,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,23,0,11,43,31,26,7,13,0,0,40,29,27,14,38,14,8,22,0,6,0,0,2,19,27,19,11,13,11,12,0,8,9,0,9,1,17,5,8,11,16,0,4,6,2,0,3,1
