0,1,2,3,4
lämnar,lämnar,uppenbarligen,lämnar,uppenbarligen
film,uppenbarligen,mm,uppenbarligen,grundlagsskyddade
litet,åtminstone,reservation,huvud,beskrivning
medan,motion,motion,motion,medan
diskussionen,folk,tillgång,veckor,film
motion,använda,folk,ytterst,fri
säga,ytterst,grundlagsskyddade,tillgång,svensk
sker,stödet,ytterst,rapporter,lämnar
ökat,turkiska,håller,plattformar,sker
innan,även,ang,informera,tillgängliga
håll,spelar,inflytande,krav,inom
diskutera,val,föras,trossamfund,motion
uppenbarligen,lämnat,rapporterats,sent,behandling
rapporterats,tillgång,plattformar,folk,komma
lett,facebook,huvud,menar,oberoende
framgått,bedrivs,medan,film,pressens
ytterst,för,påverkan,all,sida
snabbt,framförts,fungerar,står,video
opinionsbildande,läser,innehållet,demokrati,facebook
tillgång,framgått,inverkan,rapporterats,lett
