0,1,2,3,4
rönt,dagarna,alternativa,organ,utgiftsområde
föremål,sistone,it,folkrörelser,beteenden
massmedium,redovisat,konsumerar,m,funktioner
filmen,arbetsmarknadsministern,nätet,kampanj,fostran
par,refererats,bloggar,ex,tillgänglighet
tänka,rapporterats,twitter,t,lättläst
liten,förekommit,sociala,o,ang
mediets,framkommit,facebook,möter,myndigheten
viktigare,senaste,internet,pressen,trossamfund
tryck,åren,tryckta,riksdag,domstolar
angeläget,frågat,ordet,radio,förutsättning
boken,statsminister,plattformar,utöver,fritid
synpunkt,sommaren,sex,television,mänskliga
väckt,presenterats,användas,opinionsbildande,korruption
medium,månaderna,teknik,lärare,människors
uppmärksamhet,huruvida,typer,utredningar,självständiga
uppmärksamheten,cirkulerat,traditionella,representanter,universitet
medial,noterat,medierna,diskuteras,interpellation
massmedial,hörde,möjliga,förmedlas,stödja
tycks,veckorna,aktörer,dagspress,tillgängliga
