,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.275,0.0,0.25,0.125,0.0,0.0,0.175,0.175,0.0
1930-1939,0.0,0.262,0.0,0.19,0.238,0.0,0.0,0.238,0.071,0.0
1940-1949,0.1,0.067,0.05,0.075,0.15,0.033,0.1,0.25,0.125,0.05
1950-1959,0.006,0.167,0.016,0.145,0.237,0.032,0.013,0.284,0.101,0.0
1960-1969,0.062,0.107,0.06,0.145,0.099,0.064,0.076,0.152,0.166,0.069
1970-1979,0.097,0.039,0.116,0.06,0.055,0.146,0.111,0.082,0.167,0.127
1980-1989,0.102,0.028,0.143,0.039,0.055,0.147,0.133,0.05,0.136,0.166
1990-1999,0.109,0.018,0.166,0.02,0.026,0.174,0.138,0.03,0.126,0.192
2000-2009,0.106,0.013,0.159,0.016,0.012,0.201,0.127,0.021,0.11,0.236
2010-2019,0.107,0.007,0.154,0.008,0.029,0.221,0.13,0.012,0.099,0.233
2020-2029,0.071,0.0,0.071,0.0,0.036,0.5,0.036,0.036,0.036,0.214
Total,0.069,0.089,0.085,0.086,0.097,0.138,0.078,0.121,0.119,0.117
