,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1960-1969,0,0,12,0,14,9,14,3,1,5,3,9,3,4,0,15,0,4,3,3
1970-1979,2,2,41,1,18,26,24,15,25,15,3,8,6,11,7,0,2,12,6,0
1980-1989,4,6,58,8,27,33,21,21,25,8,4,20,12,14,4,11,7,19,12,4
1990-1999,18,17,11,18,12,6,7,8,5,16,7,6,8,8,7,12,8,3,2,2
2000-2009,18,25,0,20,2,0,1,9,0,7,12,1,1,2,5,5,6,2,3,7
2010-2019,55,34,0,23,0,0,0,3,0,1,9,0,2,5,2,6,7,1,0,4
2020-2029,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Total,98,85,122,70,73,74,67,62,56,52,38,44,32,44,26,49,30,42,26,20
