,0,1,2,3,4
1920-1929,0.36,0.267,0.013,0.293,0.067
1930-1939,0.365,0.351,0.014,0.189,0.081
1940-1949,0.571,0.0,0.0,0.429,0.0
1950-1959,0.388,0.306,0.047,0.047,0.212
1960-1969,0.26,0.276,0.057,0.161,0.246
1970-1979,0.227,0.254,0.043,0.272,0.204
1980-1989,0.233,0.22,0.043,0.327,0.177
1990-1999,0.24,0.203,0.082,0.253,0.222
2000-2009,0.221,0.175,0.146,0.178,0.28
2010-2019,0.174,0.146,0.203,0.156,0.321
2020-2029,0.154,0.174,0.202,0.177,0.293
Total,0.29,0.215,0.077,0.226,0.191
