,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.476,0.06,0.266,0.133,0.0,0.0,0.005,0.0,0.006,0.032,0.0,0.001,0.018,0.0,0.003
1930-1939,0.0,0.427,0.087,0.277,0.149,0.0,0.0,0.004,0.0,0.004,0.017,0.0,0.007,0.024,0.001,0.004
1940-1949,0.0,0.45,0.059,0.256,0.156,0.0,0.0,0.004,0.0,0.009,0.03,0.001,0.004,0.028,0.0,0.004
1950-1959,0.0,0.319,0.065,0.24,0.235,0.002,0.0,0.009,0.0,0.002,0.044,0.0,0.009,0.072,0.005,0.0
1960-1969,0.0,0.262,0.039,0.213,0.244,0.0,0.0,0.017,0.0,0.006,0.05,0.002,0.011,0.153,0.001,0.0
1970-1979,0.0,0.24,0.028,0.235,0.222,0.0,0.0,0.018,0.0,0.008,0.066,0.0,0.03,0.129,0.008,0.018
1980-1989,0.0,0.281,0.04,0.166,0.206,0.0,0.0,0.04,0.0,0.02,0.085,0.0,0.03,0.116,0.015,0.0
1990-1999,0.0,0.23,0.043,0.201,0.273,0.0,0.0,0.0,0.0,0.014,0.072,0.0,0.036,0.065,0.058,0.007
2000-2009,0.0,0.323,0.031,0.162,0.246,0.0,0.0,0.015,0.0,0.0,0.054,0.015,0.046,0.077,0.023,0.008
2010-2019,0.0,0.326,0.043,0.174,0.087,0.0,0.0,0.043,0.0,0.0,0.087,0.0,0.022,0.13,0.087,0.0
2020-2029,,,,,,,,,,,,,,,,
Total,0.0,0.333,0.05,0.219,0.195,0.0,0.0,0.015,0.0,0.007,0.054,0.002,0.02,0.081,0.02,0.004
