,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.509,0.065,0.241,0.121,0.0,0.0,0.004,0.0,0.004,0.017,0.0,0.0,0.034,0.0,0.004
1930-1939,0.0,0.437,0.057,0.345,0.092,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.046,0.0,0.0
1940-1949,0.0,0.446,0.035,0.252,0.169,0.0,0.0,0.016,0.0,0.006,0.029,0.0,0.006,0.035,0.006,0.0
1950-1959,0.0,0.393,0.045,0.23,0.205,0.0,0.0,0.004,0.0,0.01,0.025,0.001,0.013,0.07,0.0,0.004
1960-1969,0.0,0.299,0.039,0.259,0.199,0.0,0.0,0.031,0.0,0.006,0.03,0.0,0.011,0.122,0.002,0.002
1970-1979,0.0,0.259,0.03,0.211,0.217,0.0,0.0,0.018,0.0,0.009,0.068,0.0,0.042,0.134,0.006,0.006
1980-1989,0.0,0.257,0.033,0.186,0.202,0.0,0.0,0.022,0.0,0.005,0.049,0.005,0.044,0.164,0.022,0.011
1990-1999,0.0,0.172,0.0,0.182,0.313,0.0,0.0,0.02,0.0,0.02,0.03,0.0,0.051,0.202,0.0,0.01
2000-2009,0.0,0.115,0.019,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.038,0.288,0.038,0.019
2010-2019,0.0,0.333,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0
2020-2029,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0
Total,0.0,0.293,0.029,0.213,0.209,0.0,0.0,0.012,0.0,0.006,0.032,0.001,0.079,0.115,0.007,0.005
