,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.452,0.029,0.279,0.202,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.019,0.0,0.0
1930-1939,0.0,0.465,0.051,0.276,0.129,0.0,0.0,0.005,0.0,0.005,0.023,0.0,0.005,0.023,0.005,0.014
1940-1949,0.0,0.424,0.029,0.272,0.193,0.0,0.0,0.008,0.0,0.0,0.033,0.0,0.0,0.033,0.0,0.008
1950-1959,0.0,0.342,0.037,0.254,0.232,0.0,0.0,0.015,0.0,0.007,0.029,0.0,0.004,0.077,0.0,0.004
1960-1969,0.0,0.298,0.029,0.264,0.188,0.0,0.0,0.02,0.0,0.007,0.061,0.0,0.01,0.112,0.002,0.007
1970-1979,0.0,0.266,0.021,0.252,0.22,0.0,0.0,0.024,0.0,0.007,0.07,0.0,0.031,0.105,0.003,0.0
1980-1989,0.0,0.242,0.016,0.176,0.181,0.0,0.0,0.022,0.0,0.005,0.082,0.0,0.027,0.192,0.055,0.0
1990-1999,0.0,0.25,0.012,0.225,0.175,0.0,0.0,0.012,0.0,0.025,0.062,0.012,0.025,0.162,0.025,0.012
2000-2009,0.0,0.288,0.058,0.173,0.154,0.0,0.0,0.019,0.0,0.0,0.058,0.0,0.038,0.154,0.038,0.019
2010-2019,0.0,0.636,0.0,0.091,0.091,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.091,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,
Total,0.0,0.366,0.028,0.226,0.177,0.0,0.0,0.013,0.0,0.007,0.052,0.001,0.014,0.097,0.013,0.006
