,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,118,15,56,28,0,0,1,0,1,4,0,0,8,0,1,0,0,0,6
1930-1939,0,38,5,30,8,0,0,1,0,0,1,0,0,4,0,0,0,0,0,6
1940-1949,0,140,11,79,53,0,0,5,0,2,9,0,2,11,2,0,0,0,0,7
1950-1959,0,282,32,165,147,0,0,3,0,7,18,1,9,50,0,3,0,0,0,25
1960-1969,0,191,25,165,127,0,0,20,0,4,19,0,7,78,1,1,0,0,0,23
1970-1979,0,87,10,71,73,0,0,6,0,3,23,0,14,45,2,2,0,0,0,11
1980-1989,0,47,6,34,37,0,0,4,0,1,9,1,8,30,4,2,0,0,0,11
1990-1999,0,17,0,18,31,0,0,2,0,2,3,0,5,20,0,1,0,0,0,5
2000-2009,0,6,1,10,10,0,0,0,0,0,5,0,2,15,2,1,0,0,0,1
2010-2019,0,4,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-2029,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Total,0,930,105,631,518,0,0,42,0,20,91,2,49,263,11,11,0,0,0,95
