,0,1,2,3,4,5,6,7,8,9
1920-1929,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
1930-1939,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
1940-1949,,,,,,,,,,
1950-1959,0.444,0.0,0.111,0.0,0.222,0.111,0.111,0.0,0.0,0.0
1960-1969,0.141,0.132,0.012,0.079,0.004,0.348,0.123,0.066,0.006,0.09
1970-1979,0.097,0.174,0.021,0.109,0.006,0.177,0.175,0.089,0.019,0.134
1980-1989,0.084,0.186,0.038,0.121,0.028,0.118,0.156,0.114,0.032,0.123
1990-1999,0.108,0.081,0.148,0.072,0.124,0.079,0.118,0.095,0.114,0.061
2000-2009,0.038,0.014,0.301,0.013,0.248,0.028,0.102,0.034,0.198,0.024
2010-2019,0.025,0.01,0.408,0.007,0.288,0.007,0.062,0.028,0.136,0.029
2020-2029,0.0,0.0,0.531,0.031,0.156,0.062,0.062,0.094,0.062,0.0
Total,0.194,0.06,0.157,0.043,0.108,0.143,0.091,0.077,0.082,0.046
