lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.014,0.002,0.178,0.162,0.195,0.031,0.139,0.073,0.091,0.114
medi,0.297,0.273,0.051,0.056,0.014,0.147,0.018,0.078,0.048,0.017
