,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1920-1929,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
1930-1939,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0
1940-1949,0.051,0.0,0.026,0.0,0.077,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.026,0.026,0.0,0.0,0.051,0.0,0.026,0.103,0.0,0.026,0.0,0.0,0.077,0.0,0.026,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.051,0.026,0.026
1950-1959,0.0,0.015,0.044,0.0,0.029,0.0,0.015,0.0,0.044,0.0,0.015,0.0,0.0,0.015,0.0,0.0,0.103,0.0,0.029,0.0,0.0,0.015,0.029,0.029,0.059,0.0,0.059,0.0,0.044,0.0,0.0,0.0,0.0,0.029,0.044,0.074,0.0,0.015,0.029,0.0,0.0,0.044,0.0,0.0,0.074,0.118,0.029,0.0,0.0
1960-1969,0.021,0.01,0.023,0.005,0.021,0.0,0.065,0.026,0.008,0.0,0.063,0.023,0.003,0.01,0.005,0.0,0.026,0.021,0.023,0.018,0.018,0.037,0.013,0.034,0.07,0.0,0.037,0.034,0.031,0.008,0.0,0.018,0.005,0.021,0.01,0.037,0.0,0.013,0.057,0.005,0.008,0.034,0.0,0.003,0.044,0.037,0.026,0.023,0.003
1970-1979,0.04,0.019,0.034,0.0,0.004,0.0,0.062,0.023,0.001,0.0,0.086,0.017,0.001,0.009,0.003,0.0,0.009,0.017,0.044,0.013,0.014,0.021,0.014,0.037,0.066,0.0,0.044,0.024,0.037,0.029,0.0,0.014,0.003,0.03,0.001,0.012,0.0,0.026,0.04,0.003,0.038,0.029,0.0,0.016,0.039,0.027,0.041,0.005,0.005
1980-1989,0.034,0.021,0.034,0.0,0.005,0.0,0.067,0.011,0.0,0.0,0.07,0.023,0.002,0.02,0.001,0.0,0.002,0.031,0.06,0.009,0.029,0.017,0.013,0.036,0.051,0.0,0.031,0.016,0.026,0.037,0.0,0.044,0.007,0.04,0.002,0.009,0.0,0.024,0.022,0.007,0.04,0.032,0.0,0.023,0.036,0.022,0.039,0.004,0.003
1990-1999,0.022,0.03,0.043,0.0,0.002,0.0,0.067,0.014,0.0,0.0,0.043,0.016,0.001,0.007,0.0,0.0,0.004,0.023,0.081,0.009,0.025,0.019,0.021,0.035,0.046,0.0,0.048,0.021,0.029,0.023,0.0,0.035,0.011,0.067,0.001,0.007,0.0,0.036,0.011,0.0,0.043,0.036,0.0,0.041,0.025,0.022,0.025,0.005,0.004
2000-2009,0.013,0.039,0.018,0.0,0.0,0.0,0.072,0.039,0.0,0.0,0.046,0.013,0.0,0.012,0.0,0.0,0.0,0.022,0.135,0.003,0.048,0.013,0.009,0.025,0.045,0.0,0.045,0.037,0.014,0.031,0.0,0.042,0.005,0.082,0.0,0.008,0.0,0.029,0.007,0.0,0.031,0.016,0.0,0.043,0.01,0.021,0.018,0.003,0.005
2010-2019,0.017,0.029,0.015,0.0,0.0,0.0,0.033,0.015,0.0,0.0,0.037,0.01,0.0,0.023,0.0,0.0,0.0,0.098,0.158,0.008,0.025,0.019,0.008,0.042,0.031,0.0,0.035,0.014,0.017,0.031,0.0,0.019,0.004,0.068,0.0,0.004,0.0,0.048,0.006,0.0,0.029,0.004,0.0,0.079,0.015,0.021,0.033,0.002,0.002
2020-2029,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Total,0.042,0.024,0.053,0.0,0.028,0.0,0.037,0.021,0.005,0.0,0.033,0.009,0.001,0.009,0.001,0.0,0.029,0.022,0.06,0.005,0.024,0.017,0.019,0.047,0.058,0.0,0.029,0.037,0.018,0.044,0.0,0.018,0.003,0.031,0.005,0.025,0.0,0.017,0.016,0.001,0.017,0.033,0.0,0.037,0.022,0.067,0.024,0.006,0.004
