,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1920-1929,0.0,0.0,0.043,0.0,0.043,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.043,0.0,0.043,0.043,0.043,0.087,0.087,0.0,0.043,0.043,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0
1930-1939,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.35,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0
1940-1949,0.074,0.012,0.025,0.0,0.043,0.0,0.067,0.006,0.018,0.0,0.018,0.0,0.0,0.006,0.006,0.0,0.147,0.018,0.018,0.006,0.012,0.025,0.025,0.018,0.086,0.0,0.031,0.0,0.037,0.037,0.0,0.006,0.0,0.0,0.0,0.129,0.0,0.0,0.006,0.0,0.012,0.0,0.0,0.0,0.012,0.037,0.037,0.018,0.006
1950-1959,0.013,0.02,0.013,0.0,0.027,0.0,0.053,0.007,0.02,0.0,0.02,0.007,0.0,0.0,0.013,0.0,0.093,0.007,0.027,0.0,0.0,0.02,0.027,0.033,0.127,0.0,0.027,0.0,0.027,0.02,0.0,0.007,0.0,0.013,0.013,0.067,0.0,0.02,0.033,0.0,0.02,0.013,0.0,0.02,0.027,0.087,0.033,0.04,0.007
1960-1969,0.047,0.008,0.033,0.0,0.027,0.0,0.059,0.006,0.009,0.0,0.067,0.006,0.003,0.014,0.005,0.0,0.044,0.025,0.042,0.017,0.016,0.017,0.027,0.033,0.08,0.0,0.038,0.017,0.022,0.031,0.0,0.016,0.003,0.022,0.006,0.036,0.0,0.022,0.028,0.003,0.019,0.011,0.0,0.012,0.031,0.052,0.034,0.008,0.005
1970-1979,0.043,0.016,0.034,0.001,0.007,0.0,0.07,0.022,0.002,0.0,0.068,0.017,0.0,0.008,0.001,0.0,0.004,0.024,0.056,0.01,0.013,0.026,0.017,0.041,0.065,0.0,0.029,0.018,0.034,0.027,0.002,0.02,0.004,0.027,0.004,0.025,0.0,0.025,0.033,0.003,0.038,0.031,0.0,0.015,0.031,0.033,0.048,0.005,0.004
1980-1989,0.039,0.016,0.032,0.0,0.003,0.0,0.066,0.018,0.001,0.0,0.068,0.023,0.001,0.013,0.0,0.0,0.002,0.03,0.083,0.006,0.027,0.018,0.011,0.033,0.064,0.0,0.042,0.023,0.038,0.026,0.0,0.037,0.002,0.033,0.003,0.011,0.0,0.023,0.019,0.003,0.038,0.029,0.0,0.028,0.023,0.025,0.033,0.005,0.005
1990-1999,0.021,0.022,0.025,0.0,0.0,0.0,0.079,0.021,0.0,0.0,0.035,0.016,0.0,0.009,0.0,0.0,0.001,0.037,0.1,0.003,0.035,0.006,0.012,0.031,0.043,0.0,0.042,0.046,0.026,0.027,0.0,0.042,0.008,0.071,0.001,0.004,0.0,0.035,0.007,0.003,0.039,0.03,0.0,0.039,0.017,0.024,0.037,0.003,0.002
2000-2009,0.008,0.041,0.019,0.0,0.0,0.0,0.075,0.017,0.001,0.0,0.041,0.011,0.0,0.014,0.0,0.0,0.001,0.031,0.144,0.01,0.055,0.02,0.005,0.022,0.036,0.0,0.035,0.027,0.02,0.034,0.0,0.031,0.004,0.085,0.0,0.003,0.0,0.035,0.008,0.001,0.038,0.008,0.0,0.056,0.017,0.018,0.029,0.002,0.002
2010-2019,0.015,0.057,0.028,0.0,0.001,0.0,0.066,0.02,0.0,0.0,0.016,0.004,0.0,0.012,0.0,0.0,0.0,0.061,0.147,0.004,0.036,0.015,0.013,0.022,0.028,0.0,0.04,0.022,0.018,0.032,0.0,0.029,0.001,0.096,0.0,0.005,0.0,0.038,0.003,0.003,0.034,0.009,0.0,0.066,0.01,0.014,0.031,0.001,0.001
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.037,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.111,0.148,0.0,0.0,0.037,0.0,0.037,0.037,0.0,0.037,0.037,0.037,0.037,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.037,0.037,0.0,0.037,0.037,0.0,0.037,0.0,0.037,0.0,0.0,0.0
Total,0.024,0.022,0.023,0.0,0.018,0.0,0.06,0.014,0.005,0.0,0.03,0.008,0.0,0.015,0.002,0.0,0.074,0.031,0.078,0.005,0.022,0.025,0.016,0.032,0.064,0.0,0.033,0.021,0.024,0.036,0.0,0.017,0.002,0.042,0.007,0.048,0.0,0.021,0.02,0.001,0.025,0.02,0.0,0.025,0.015,0.034,0.03,0.007,0.003
