,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.0,0.0,0.243,0.027,0.459,0.162,0.0,0.054,0.027,0.027
1970-1979,0.0,0.0,0.156,0.156,0.344,0.156,0.031,0.031,0.062,0.062
1980-1989,0.0,0.025,0.038,0.25,0.25,0.088,0.038,0.162,0.025,0.125
1990-1999,0.004,0.062,0.104,0.242,0.117,0.054,0.012,0.212,0.004,0.188
2000-2009,0.0,0.059,0.035,0.28,0.122,0.016,0.004,0.28,0.035,0.169
2010-2019,0.0,0.026,0.017,0.417,0.089,0.0,0.017,0.245,0.066,0.123
2020-2029,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.167,0.0,0.333
Total,0.0,0.019,0.177,0.208,0.265,0.053,0.011,0.128,0.024,0.114
