,0,1,2,3,4
1920-1929,0.208,0.004,0.765,0.011,0.011
1930-1939,0.5,0.007,0.472,0.007,0.014
1940-1949,0.401,0.03,0.468,0.06,0.04
1950-1959,0.405,0.016,0.487,0.057,0.035
1960-1969,0.272,0.087,0.339,0.141,0.162
1970-1979,0.14,0.209,0.18,0.192,0.28
1980-1989,0.06,0.289,0.106,0.253,0.291
1990-1999,0.061,0.314,0.063,0.272,0.29
2000-2009,0.039,0.359,0.027,0.239,0.335
2010-2019,0.035,0.407,0.023,0.245,0.29
2020-2029,0.0,0.333,0.333,0.111,0.222
Total,0.193,0.187,0.297,0.144,0.179
