,0,1,2,3,4,5,6,7,8,9
1920-1929,0.002,0.184,0.0,0.207,0.152,0.004,0.004,0.392,0.051,0.005
1930-1939,0.003,0.154,0.002,0.179,0.33,0.003,0.005,0.285,0.038,0.001
1940-1949,0.026,0.11,0.014,0.149,0.346,0.01,0.012,0.285,0.041,0.005
1950-1959,0.027,0.145,0.011,0.162,0.284,0.019,0.014,0.239,0.088,0.012
1960-1969,0.062,0.12,0.054,0.119,0.158,0.061,0.058,0.185,0.12,0.064
1970-1979,0.106,0.043,0.109,0.056,0.083,0.125,0.107,0.091,0.153,0.127
1980-1989,0.106,0.034,0.157,0.037,0.077,0.141,0.117,0.059,0.129,0.144
1990-1999,0.116,0.018,0.155,0.028,0.026,0.166,0.158,0.033,0.111,0.19
2000-2009,0.105,0.015,0.159,0.017,0.012,0.201,0.13,0.028,0.112,0.221
2010-2019,0.108,0.002,0.161,0.01,0.012,0.219,0.127,0.014,0.105,0.243
2020-2029,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.2
Total,0.06,0.075,0.075,0.088,0.135,0.123,0.066,0.147,0.122,0.11
